imsi,amf_pdu_session_establishment_request_handled_ts,smf_pdu_accept_sent_ts,pdu_session_setup_latency_ms,note
208950000000031,2026-08-25 14:46:18.922000,2026-08-25 14:46:18.929000,7.0,"AMF-received PDU Session Establishment Request (post-registration) to SMF Accept dispatch; both timestamps from container-internal clocks (AMF/SMF), cross-referenced directly -- comparable in spirit to the single-UE baseline's NGAP/Core component (147.63ms), not the full RRC+NGAP total"
208950000000032,2026-08-25 14:48:24.106000,2026-08-25 14:48:24.112000,6.0,"AMF-received PDU Session Establishment Request (post-registration) to SMF Accept dispatch; both timestamps from container-internal clocks (AMF/SMF), cross-referenced directly -- comparable in spirit to the single-UE baseline's NGAP/Core component (147.63ms), not the full RRC+NGAP total"
208950000000033,2026-08-25 14:48:26.803000,2026-08-25 14:48:26.810000,7.0,"AMF-received PDU Session Establishment Request (post-registration) to SMF Accept dispatch; both timestamps from container-internal clocks (AMF/SMF), cross-referenced directly -- comparable in spirit to the single-UE baseline's NGAP/Core component (147.63ms), not the full RRC+NGAP total"
208950000000034,2026-08-25 14:48:29.354000,2026-08-25 14:48:29.361000,7.0,"AMF-received PDU Session Establishment Request (post-registration) to SMF Accept dispatch; both timestamps from container-internal clocks (AMF/SMF), cross-referenced directly -- comparable in spirit to the single-UE baseline's NGAP/Core component (147.63ms), not the full RRC+NGAP total"
