traffic_type,packets_sent,packets_received,loss_pct,min_rtt_ms,avg_rtt_ms,max_rtt_ms,jitter_ms,throughput_mbps
URLLC,100,100,0.00,5.409,11.548,16.036,2.482,0.078
eMBB,50,50,0.00,5.920,14.901,19.915,1.886,0.819
mMTC,50,50,0.00,5.304,13.634,20.538,2.516,0.0003
V2X,100,100,0.00,6.630,13.035,29.351,3.040,0.039
Live_Video,12500,12499,0.00,N/A,N/A,N/A,2.687,4.00
VoD,21428,21428,0.00,N/A,N/A,N/A,1.776,8.00
File_Transfer,N/A,N/A,0.00,N/A,N/A,N/A,N/A,46.8
Web_Mobile,20,20,0.00,9.600,14.326,20.581,1.988,0.004
