imsi,amf_to_smf_pdu_session_processing_latency_ms,end_to_end_bearer_establishment_latency_ms,note
208950000000031,7.0,NOT_MEASURABLE,"end-to-end bearer establishment latency (RRC/RA initiation to session ready) could not be measured: UE-side logs carry no timestamps and DU stdout is not accessible in this setup; only the AMF-received-PDU-Session-Establishment-Request to SMF-Accept-dispatched leg is measurable and reported here -- these are NOT the same measurement"
208950000000032,6.0,NOT_MEASURABLE,"end-to-end bearer establishment latency (RRC/RA initiation to session ready) could not be measured: UE-side logs carry no timestamps and DU stdout is not accessible in this setup; only the AMF-received-PDU-Session-Establishment-Request to SMF-Accept-dispatched leg is measurable and reported here -- these are NOT the same measurement"
208950000000033,7.0,NOT_MEASURABLE,"end-to-end bearer establishment latency (RRC/RA initiation to session ready) could not be measured: UE-side logs carry no timestamps and DU stdout is not accessible in this setup; only the AMF-received-PDU-Session-Establishment-Request to SMF-Accept-dispatched leg is measurable and reported here -- these are NOT the same measurement"
208950000000034,7.0,NOT_MEASURABLE,"end-to-end bearer establishment latency (RRC/RA initiation to session ready) could not be measured: UE-side logs carry no timestamps and DU stdout is not accessible in this setup; only the AMF-received-PDU-Session-Establishment-Request to SMF-Accept-dispatched leg is measurable and reported here -- these are NOT the same measurement"
208950000000035,5.0,NOT_MEASURABLE,"end-to-end bearer establishment latency (RRC/RA initiation to session ready) could not be measured: UE-side logs carry no timestamps and DU stdout is not accessible in this setup; only the AMF-received-PDU-Session-Establishment-Request to SMF-Accept-dispatched leg is measurable and reported here -- these are NOT the same measurement"
208950000000036,5.0,NOT_MEASURABLE,"end-to-end bearer establishment latency (RRC/RA initiation to session ready) could not be measured: UE-side logs carry no timestamps and DU stdout is not accessible in this setup; only the AMF-received-PDU-Session-Establishment-Request to SMF-Accept-dispatched leg is measurable and reported here -- these are NOT the same measurement"
208950000000037,4.0,NOT_MEASURABLE,"end-to-end bearer establishment latency (RRC/RA initiation to session ready) could not be measured: UE-side logs carry no timestamps and DU stdout is not accessible in this setup; only the AMF-received-PDU-Session-Establishment-Request to SMF-Accept-dispatched leg is measurable and reported here -- these are NOT the same measurement"
208950000000038,6.0,NOT_MEASURABLE,"end-to-end bearer establishment latency (RRC/RA initiation to session ready) could not be measured: UE-side logs carry no timestamps and DU stdout is not accessible in this setup; only the AMF-received-PDU-Session-Establishment-Request to SMF-Accept-dispatched leg is measurable and reported here -- these are NOT the same measurement"
