ue_id,use_case,imsi,ipv4,pfcp_seid,rnti,5gmm_state,pdu_session_state,dl_sinr_db,ul_sinr_db,rsrp_dbm,dl_bler_pct,ul_bler_pct,mcs_dl,harq_errors,amf_to_smf_pdu_session_processing_latency_ms,end_to_end_bearer_establishment_latency_ms,ping_sent,ping_recv,packet_loss_pct,rtt_min_ms,rtt_avg_ms,rtt_max_ms,jitter_mdev_ms,cpu_pct,mem_pct
1,mMTC,208950000000031,12.1.1.149,0x4,cfef,REGISTERED,Established,42.6,N/A,-42,0.0,0.0,not logged at this traffic level,0,7.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",50,50,0.0,31.314,70.965,95.105,14.403,51.4,4.4
2,mMTC,208950000000032,12.1.1.150,0x5,3593,REGISTERED,Established,42.6,N/A,-42,0.0,0.0,not logged at this traffic level,0,6.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",50,50,0.0,33.05,74.159,96.308,14.452,53.5,4.4
3,mMTC,208950000000033,12.1.1.151,0x6,69ff,REGISTERED,Established,43.3,N/A,-42,0.0,0.0,not logged at this traffic level,0,7.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",50,50,0.0,31.607,68.166,90.613,14.29,53.9,4.4
4,mMTC,208950000000034,12.1.1.152,0x7,f97b,REGISTERED,Established,43.3,N/A,-42,0.0,0.0,not logged at this traffic level,0,7.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",50,50,0.0,33.843,73.549,91.367,12.86,53.4,4.4
5,Web,208950000000035,12.1.1.153,0x8,n/a,REGISTERED,Established,44.1,N/A,-42,0.0,0.0,not logged at this traffic level,0,5.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",50,50,0.0,29.026,71.457,98.503,15.078,37.3,4.4
6,Mobile,208950000000036,12.1.1.154,0x9,n/a,REGISTERED,Established,44.1,N/A,-42,0.0,0.0,not logged at this traffic level,0,5.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",50,50,0.0,33.042,73.6,90.34,10.447,36.5,4.4
7,VoD,208950000000037,12.1.1.155,0xa,n/a,REGISTERED,Established,43.3,N/A,-42,0.0,0.0,not logged at this traffic level,0,4.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",50,50,0.0,35.169,73.55,97.755,14.982,35.2,4.4
8,Live video,208950000000038,12.1.1.156,0xb,n/a,REGISTERED,Established,42.6,N/A,-42,0.0,0.0,not logged at this traffic level,0,6.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",50,50,0.0,28.244,70.867,92.394,15.732,32.9,4.4
